Country,Item Type,Order Date,Order ID,Order Priority,Region,Sales Channel,Ship Date,Total Cost,Total Revenue,Units Sold
Australia,Office Supplies,03/21/2013,446012478,H,Asia-Pacific,Offline,03/29/2013,3856934.28,4701236.88,7143
South Africa,Meat,11/27/2011,459905654,M,Middle East and Africa,Offline,12/14/2011,2006642.46,3000608.16,4749
United States,Snacks,03/26/2012,756350429,L,North America,Online,04/29/2012,72830.0,111710.0,500
Canada,Household,07/18/2015,906341966,M,North America,Offline,08/14/2015,989917.14,2789278.57,4097
Canada,Clothes,07/25/2010,816806128,M,North America,Offline,08/16/2010,74499.84,235046.16,2088
Australia,Personal Care,10/14/2011,784683755,C,Asia-Pacific,Offline,10/18/2011,413331.63,595299.18,7473
Australia,Snacks,12/07/2014,679984033,M,Asia-Pacific,Offline,12/24/2014,710121.93,1002145.41,4781
United States,Cereal,10/13/2017,682624278,M,North America,Offline,11/01/2017,403796.05,734699.0,3605
South Africa,Baby Food,05/15/2014,477698143,M,Middle East and Africa,Offline,05/30/2014,446860.16,2313130.44,9532
Australia,Household,06/17/2012,818197581,M,Asia-Pacific,Offline,07/10/2012,1810651.6,4784481.6,7240
United Arab Emirates,Meat,06/02/2014,595744935,M,Middle East and Africa,Online,06/17/2014,631167.25,886224.25,1475
United Kingdom,Cosmetics,05/16/2012,398775766,C,Europe,Offline,05/20/2012,1413117.75,2475479.0,5455
Egypt,Beverages,01/19/2016,799816232,C,Middle East and Africa,Online,01/20/2016,180298.03,264818.2,5833
United States,Clothes,12/19/2016,705557720,M,North America,Online,01/07/2017,138276.0,445409.04,4008
Sweden,Vegetables,11/19/2011,433975497,L,Europe,Offline,01/07/2012,184676.96,294186.88,1976
Mexico,Baby Food,06/13/2014,773496394,L,North America,Offline,08/12/2014,152178.56,871242.35,3349
Germany,Vegetables,05/07/2016,497897455,L,Europe,Online,07/01/2016,69124.88,118085.12,772
Mexico,Snacks,09/17/2014,782454310,L,North America,Online,11/12/2014,1191679.36,1812643.83,8131
United Arab Emirates,Household,11/27/2016,388187517,M,Middle East and Africa,Offline,12/27/2016,1920049.44,5275506.36,7716
Japan,Beverages,09/25/2012,461203124,L,Asia-Pacific,Offline,11/18/2012,246893.13,372152.25,7713
Canada,Fruits,05/18/2012,852890318,M,North America,Offline,06/13/2012,29500.92,41933.76,4332
India,Office Supplies,09/15/2012,611201082,M,Asia-Pacific,Online,10/13/2012,4277777.44,5140367.2,8104
South Africa,Baby Food,06/26/2012,608159580,H,Middle East and Africa,Offline,07/07/2012,190121.58,1051572.96,4086
Australia,Vegetables,11/18/2017,874473159,L,Asia-Pacific,Offline,01/01/2018,404653.46,680291.58,4538
Netherlands,Beverages,06/05/2012,663324548,M,Europe,Online,07/05/2012,150475.0,230157.3,4630
India,Clothes,01/18/2014,394539550,L,Asia-Pacific,Online,02/22/2014,172273.2,553951.8,5052
United States,Office Supplies,02/25/2017,405307028,L,North America,Online,04/23/2017,4104382.2,5043561.9,8142
South Africa,Meat,07/30/2010,628008852,L,Middle East and Africa,Online,09/06/2010,3215270.47,4728059.15,7927
Mexico,Snacks,09/04/2011,699226355,H,North America,Online,09/18/2011,742657.5,1054903.72,5078
United Arab Emirates,Office Supplies,12/19/2014,766823010,C,Middle East and Africa,Offline,12/22/2014,5364724.56,6220656.68,9742
Mexico,Vegetables,01/06/2017,286630878,H,North America,Online,01/14/2017,409749.65,659839.3,4435
United States,Baby Food,09/24/2017,859088046,C,North America,Offline,09/29/2017,362341.54,1937505.57,7799
Australia,Beverages,01/04/2017,259976144,M,Asia-Pacific,Offline,01/25/2017,215977.05,325979.1,7065
Japan,Beverages,06/13/2013,603260608,H,Asia-Pacific,Online,06/27/2013,312250.25,444483.0,9425
Australia,Cosmetics,11/26/2010,748232591,C,Asia-Pacific,Offline,12/01/2010,206005.74,336929.85,753
India,Beverages,07/16/2017,605196410,M,Asia-Pacific,Online,08/08/2017,289378.53,464360.47,9541
Egypt,Cereal,01/09/2011,212313264,C,Middle East and Africa,Offline,01/13/2011,673032.0,1171716.0,5800
Netherlands,Household,06/06/2017,371011200,C,Europe,Offline,06/10/2017,2176401.2,5838422.88,9112
India,Household,08/20/2014,635252889,H,Asia-Pacific,Offline,08/25/2014,796137.43,2146439.31,3173
Saudi Arabia,Clothes,03/25/2013,753770973,L,Middle East and Africa,Online,05/08/2013,277253.68,920292.45,8041
France,Cosmetics,01/17/2011,993506934,H,Europe,Offline,01/25/2011,513602.98,823299.84,1958
Sweden,Vegetables,08/29/2014,691916368,L,Europe,Offline,10/24/2014,762876.5,1201630.55,8005
Poland,Clothes,02/05/2013,981058292,M,Europe,Online,03/05/2013,211983.2,619852.48,5668
Canada,Vegetables,09/01/2011,919128302,L,North America,Offline,10/15/2011,810209.96,1351807.52,8924
South Africa,Fruits,05/31/2016,441639230,M,Middle East and Africa,Online,06/27/2016,28149.42,36315.5,3926
South Africa,Household,06/01/2010,207765664,M,Middle East and Africa,Offline,06/20/2010,2183030.9,5472486.16,8329
Saudi Arabia,Office Supplies,08/14/2011,384566044,C,Middle East and Africa,Online,08/18/2011,1321440.56,1760220.66,2629
Australia,Snacks,07/25/2017,915401487,H,Asia-Pacific,Offline,08/07/2017,1009060.26,1365214.06,6326
Saudi Arabia,Personal Care,01/29/2017,565973314,H,Middle East and Africa,Online,02/13/2017,286027.92,402670.0,4808
Mexico,Vegetables,11/13/2011,415001254,H,North America,Offline,11/22/2011,49823.2,91047.88,574
Singapore,Household,12/16/2015,287979290,M,Asia-Pacific,Online,01/13/2016,2389860.0,6062653.08,9372
Mexico,Household,07/16/2016,374154962,M,North America,Offline,08/04/2016,973969.92,2544744.32,3904
Canada,Cosmetics,12/15/2014,841218491,M,North America,Online,01/10/2015,2509697.04,4448672.4,9726
Australia,Cosmetics,06/03/2015,417690559,M,Asia-Pacific,Offline,06/21/2015,1037197.06,1718085.58,3986
India,Snacks,02/03/2010,994253959,C,Asia-Pacific,Offline,02/08/2010,143441.55,197151.99,903
Japan,Personal Care,02/20/2017,807790785,L,Asia-Pacific,Online,03/28/2017,242602.08,351369.24,4206
Turkey,Beverages,12/11/2014,416872439,H,Europe,Offline,12/16/2014,300899.2,438491.5,9595
Australia,Cereal,01/19/2016,276678230,M,Asia-Pacific,Online,02/14/2016,1030392.61,1768372.94,8797
Australia,Cosmetics,04/03/2015,826197069,L,Asia-Pacific,Online,06/02/2015,338408.71,609980.8,1333
Egypt,Beverages,12/19/2012,821920438,C,Middle East and Africa,Online,12/24/2012,67224.6,102525.48,2124
Australia,Snacks,07/27/2017,702806585,L,Asia-Pacific,Online,09/02/2017,1137061.92,1731451.2,7824
Japan,Snacks,11/11/2017,139956218,H,Asia-Pacific,Offline,11/20/2017,996149.97,1381018.38,6789
Australia,Beverages,01/11/2016,897940629,H,Asia-Pacific,Online,01/18/2016,204615.88,312097.42,6467
United Arab Emirates,Household,11/26/2016,576078963,H,Middle East and Africa,Offline,12/07/2016,1118066.25,3089000.46,4683
United Arab Emirates,Fruits,02/09/2016,231167999,H,Middle East and Africa,Offline,02/24/2016,39561.12,54501.12,5976
Saudi Arabia,Snacks,07/27/2010,320337809,M,Middle East and Africa,Online,08/21/2010,654563.6,896650.7,4090
Mexico,Clothes,09/07/2013,255357534,M,North America,Online,09/26/2013,335967.84,1116604.8,9864
Belgium,Cosmetics,05/31/2017,355477113,M,Europe,Online,06/15/2017,565992.45,1016278.92,2259
India,Cereal,06/04/2011,611365210,L,Asia-Pacific,Online,07/27/2011,821587.74,1474617.75,6997
Egypt,Office Supplies,08/26/2015,807491789,H,Middle East and Africa,Offline,09/03/2015,434880.9,549042.3,810
Australia,Snacks,05/16/2015,576271425,H,Asia-Pacific,Online,05/27/2015,1100995.28,1508183.6,7084
United States,Fruits,06/01/2011,741444618,M,North America,Online,06/24/2011,67345.5,88857.3,9690
Australia,Office Supplies,11/14/2017,584853393,C,Asia-Pacific,Online,11/15/2017,4900311.15,5777992.45,9133
Poland,Fruits,08/31/2014,501902658,C,Europe,Offline,09/01/2014,35861.4,49485.6,5220
Turkey,Meat,12/16/2010,971630639,H,Europe,Online,12/22/2010,2904942.25,4580807.0,7175
Belgium,Baby Food,08/10/2014,408839723,L,Europe,Online,09/20/2014,345826.8,1834006.68,7029
Singapore,Beverages,05/13/2017,697285504,M,Asia-Pacific,Online,06/12/2017,124126.86,176396.76,3774
India,Cosmetics,04/16/2016,918630985,M,Asia-Pacific,Offline,05/01/2016,1124417.33,1914686.49,4481
Singapore,Fruits,08/10/2011,132917811,H,Asia-Pacific,Online,08/24/2011,44128.92,63660.3,6666
Mexico,Office Supplies,09/16/2014,448303473,M,North America,Offline,10/15/2014,2882181.3,3632373.9,5685
United States,Cereal,07/23/2017,751842899,M,North America,Online,08/09/2017,530733.52,930470.12,4558
South Africa,Cosmetics,11/14/2013,622517939,M,Middle East and Africa,Online,12/12/2013,493599.92,852620.0,1916
India,Clothes,02/01/2010,920511515,C,Asia-Pacific,Online,02/03/2010,188622.72,565263.6,5038
Singapore,Fruits,07/31/2015,347079497,H,Asia-Pacific,Online,08/11/2015,19833.48,27874.08,2978
India,Household,03/18/2010,715683222,H,Asia-Pacific,Offline,03/30/2010,356840.0,925828.75,1375
South Africa,Cosmetics,03/27/2010,993381017,H,Middle East and Africa,Offline,04/06/2010,790722.9,1289479.4,2915
India,Household,11/20/2014,433154770,H,Asia-Pacific,Online,12/04/2014,1671993.0,4404258.0,6660
Japan,Fruits,09/22/2015,475138838,M,Asia-Pacific,Online,10/10/2015,60935.49,85380.03,8793
Japan,Clothes,11/14/2012,803847447,H,Asia-Pacific,Online,11/22/2012,106529.82,329857.04,2942
United States,Snacks,04/28/2016,790407222,C,North America,Offline,05/03/2016,1157904.36,1649197.5,7454
Singapore,Cereal,04/05/2015,477895080,C,Asia-Pacific,Online,04/09/2015,610255.38,1050562.38,5061
Canada,Meat,08/22/2010,196955134,C,North America,Online,08/25/2010,1940556.09,3103986.78,4803
South Africa,Personal Care,05/30/2016,261985842,H,Middle East and Africa,Offline,06/14/2016,177221.44,259591.52,3184
Canada,Beverages,08/29/2015,571825556,L,North America,Online,10/18/2015,88746.64,141783.88,2927
Netherlands,Fruits,08/02/2014,777409303,L,Europe,Offline,09/25/2014,39726.72,50279.13,5643
India,Fruits,03/09/2013,725711790,H,Asia-Pacific,Offline,03/18/2013,71613.32,91461.58,9974
Netherlands,Cosmetics,09/03/2016,452699013,C,Europe,Online,09/04/2016,1369959.36,2293626.84,5172
Turkey,Vegetables,09/14/2015,329987621,H,Europe,Offline,09/24/2015,35692.64,59353.74,398
Australia,Clothes,09/27/2011,927720428,M,Asia-Pacific,Online,10/14/2011,183348.22,518934.32,4946
Mexico,Fruits,09/24/2011,968704078,M,North America,Offline,10/14/2011,21893.3,29333.96,3062
Sweden,Baby Food,08/02/2017,941599226,C,Europe,Offline,08/04/2017,353874.69,1930708.44,7377
United Arab Emirates,Office Supplies,04/06/2015,573087862,M,Middle East and Africa,Offline,04/27/2015,3273244.32,4017430.8,6126
Egypt,Household,03/28/2012,616030284,C,Middle East and Africa,Online,04/02/2012,614922.93,1510950.78,2367
India,Vegetables,12/10/2010,992329618,H,Asia-Pacific,Offline,12/17/2010,413357.43,704859.63,4569
Saudi Arabia,Clothes,04/20/2010,514642708,C,Middle East and Africa,Offline,04/24/2010,34476.84,104878.8,972
Canada,Clothes,02/10/2011,408034406,H,North America,Offline,02/25/2011,206269.84,589054.76,5593
United Arab Emirates,Vegetables,11/25/2016,260545470,C,Middle East and Africa,Offline,11/26/2016,121010.88,209252.64,1398
Saudi Arabia,Cosmetics,05/15/2011,590822013,M,Middle East and Africa,Offline,05/31/2011,1046447.32,1802900.3,4006
United States,Meat,08/12/2011,712745501,H,North America,Online,08/21/2011,2858933.52,4381686.84,7132
United Arab Emirates,Snacks,10/05/2010,695016134,H,Middle East and Africa,Offline,10/18/2010,1376347.66,2014809.28,9014
Canada,Meat,03/10/2014,358906986,H,North America,Offline,03/19/2014,152204.76,218351.94,366
Mexico,Vegetables,07/01/2010,991617660,L,North America,Online,08/11/2010,809165.7,1413371.7,9045
South Africa,Snacks,09/16/2010,314179101,M,Middle East and Africa,Online,10/15/2010,105348.15,143389.95,705
Canada,Cosmetics,11/03/2012,151329185,C,North America,Offline,11/04/2012,832628.7,1463739.93,3231
Singapore,Beverages,06/27/2014,300593456,L,Asia-Pacific,Offline,08/19/2014,241324.16,342630.64,7304
South Africa,Fruits,10/05/2014,685698675,L,Middle East and Africa,Online,11/06/2014,50013.45,68902.65,7155
Singapore,Beverages,05/31/2017,278933456,H,Asia-Pacific,Offline,06/09/2017,161926.02,248266.08,5121
Egypt,Meat,11/23/2016,161587757,H,Middle East and Africa,Offline,12/04/2016,1966886.46,2950674.54,4598
Mexico,Snacks,10/03/2015,938927341,C,North America,Offline,10/05/2015,89749.3,131394.0,610
Saudi Arabia,Cereal,03/27/2017,749715626,H,Middle East and Africa,Online,04/06/2017,698259.42,1249313.64,6033
Turkey,Meat,12/24/2014,527385805,L,Europe,Offline,02/16/2015,577588.59,849905.01,1359
Singapore,Clothes,02/02/2012,381080560,H,Asia-Pacific,Online,02/14/2012,304060.26,943590.9,8582
Australia,Clothes,03/30/2012,865975088,L,Asia-Pacific,Offline,05/02/2012,86183.3,252649.48,2323
Saudi Arabia,Snacks,12/16/2017,269119969,L,Middle East and Africa,Offline,01/17/2018,1395987.42,2017630.95,9111
Netherlands,Office Supplies,04/03/2012,694875990,M,Europe,Online,04/22/2012,2148915.6,2467792.08,3978
Australia,Office Supplies,09/27/2010,664461415,M,Asia-Pacific,Online,10/21/2010,3650531.37,4407341.58,6623
South Africa,Personal Care,07/22/2013,469919929,H,Middle East and Africa,Online,08/06/2013,74152.85,109408.0,1315
Belgium,Snacks,11/08/2014,273910700,M,Europe,Online,11/24/2014,326203.24,445877.96,2134
Japan,Fruits,10/23/2012,759737342,L,Asia-Pacific,Online,11/28/2012,61678.24,86221.8,9124
Mexico,Snacks,12/03/2011,187212377,M,North America,Online,12/28/2011,1358843.72,2061507.24,9334
Mexico,Personal Care,06/01/2016,411032572,L,North America,Online,07/14/2016,33769.36,49330.92,596
Australia,Clothes,02/01/2015,598690974,C,Asia-Pacific,Offline,02/02/2015,37413.41,117137.16,1081
Netherlands,Personal Care,07/31/2013,703068400,M,Europe,Offline,08/26/2013,361974.56,535003.44,6632
Canada,Clothes,12/31/2012,512477736,C,North America,Online,01/04/2013,143762.55,434283.57,4161
United Arab Emirates,Cereal,02/17/2012,635539154,L,Middle East and Africa,Offline,04/11/2012,317313.9,558260.0,2710
Australia,Baby Food,09/02/2015,154267347,H,Asia-Pacific,Offline,09/14/2015,186428.4,1017146.88,4044
Australia,Personal Care,01/08/2016,881155839,C,Asia-Pacific,Offline,01/09/2016,104737.08,157924.46,1861
Australia,Fruits,07/29/2010,178954113,H,Asia-Pacific,Offline,08/12/2010,62429.84,87271.52,9304
South Africa,Office Supplies,06/12/2011,698967370,L,Middle East and Africa,Online,07/15/2011,3396419.9,4475109.23,6553
Japan,Clothes,07/05/2010,657629251,C,Asia-Pacific,Online,07/06/2010,85850.45,264047.0,2345
United Arab Emirates,Personal Care,11/16/2016,421300425,M,Middle East and Africa,Offline,12/11/2016,154837.72,228362.16,2762
Australia,Vegetables,03/10/2010,726745401,L,Asia-Pacific,Offline,04/20/2010,511302.77,892334.15,5527
India,Personal Care,05/09/2017,615877957,C,Asia-Pacific,Offline,05/14/2017,527208.19,746487.78,9563
Belgium,Snacks,08/20/2017,304853117,C,Europe,Online,08/22/2017,94826.73,134123.46,617
Canada,Fruits,08/19/2014,606382505,C,North America,Online,08/21/2014,47215.16,64340.89,6823
Mexico,Cereal,06/05/2017,593559955,M,North America,Offline,07/05/2017,1007370.03,1873218.81,8709
Singapore,Snacks,02/27/2012,419561201,L,Asia-Pacific,Offline,04/27/2012,617430.98,864097.16,4138
Japan,Vegetables,05/20/2015,393622794,C,Asia-Pacific,Offline,05/23/2015,880678.21,1472376.63,9283
India,Personal Care,11/14/2013,184857208,C,Asia-Pacific,Offline,11/16/2013,262672.06,415116.1,4858
Australia,Snacks,05/26/2012,391651334,L,Asia-Pacific,Offline,07/01/2012,1330479.16,1913573.32,8924
Germany,Personal Care,07/27/2010,870257350,M,Europe,Online,08/18/2010,211864.82,317112.28,3914
Saudi Arabia,Snacks,03/04/2016,610778600,M,Middle East and Africa,Online,03/24/2016,1048121.06,1496774.52,6766
United Arab Emirates,Cosmetics,03/30/2017,893158610,L,Middle East and Africa,Offline,04/30/2017,418387.1,665891.85,1565
United States,Household,06/15/2014,410812797,M,North America,Online,07/15/2014,823869.76,2203720.8,3152
United States,Cosmetics,03/11/2013,244096091,H,North America,Offline,03/23/2013,2375993.97,4088434.22,9001
Egypt,Clothes,10/28/2011,461971444,H,Middle East and Africa,Offline,11/09/2011,158015.3,448630.55,4315
Japan,Cereal,10/12/2015,250980852,C,Asia-Pacific,Offline,10/15/2015,176359.95,300214.98,1521
Egypt,Clothes,04/21/2014,424211872,H,Middle East and Africa,Offline,04/29/2014,272648.25,847546.56,7419
Canada,Snacks,09/12/2010,836665942,L,North America,Online,11/02/2010,309573.8,419130.96,2036
India,Snacks,11/22/2016,588529624,L,Asia-Pacific,Offline,12/29/2016,588776.4,784678.5,3690
Australia,Vegetables,10/10/2012,488463544,C,Asia-Pacific,Online,10/15/2012,131361.56,222620.09,1441
Mexico,Beverages,06/03/2016,574422684,H,North America,Online,06/16/2016,78489.6,125527.15,2555
Mexico,Clothes,09/22/2015,590483627,C,North America,Online,09/26/2015,36062.37,110623.62,1011
Mexico,Meat,06/10/2014,148629555,L,North America,Online,07/18/2014,64406.74,93636.07,149
Egypt,Vegetables,10/10/2010,245415636,H,Middle East and Africa,Online,10/22/2010,55084.81,92311.47,619
Egypt,Household,03/19/2014,227381397,C,Middle East and Africa,Offline,03/20/2014,2155658.1,6186147.25,8935
Belgium,Household,01/15/2010,555404004,M,Europe,Online,01/30/2010,1244605.76,3406355.08,4988
United Arab Emirates,Clothes,09/28/2011,221166014,C,Middle East and Africa,Offline,10/01/2011,119263.08,356227.12,3188
Mexico,Household,04/24/2012,821579885,H,North America,Online,04/30/2012,443158.4,1165201.57,1753
United States,Vegetables,12/03/2014,160606325,H,North America,Offline,12/11/2014,790203.48,1427839.38,8943
Belgium,Cosmetics,06/23/2016,808897689,M,Europe,Offline,07/18/2016,1027535.91,1678389.6,3981
Poland,Cosmetics,03/30/2016,772155012,L,Europe,Online,05/29/2016,2676720.69,4457675.67,9793
South Africa,Baby Food,11/19/2015,297438548,L,Middle East and Africa,Offline,12/29/2015,325356.21,1731426.57,6921
United Arab Emirates,Clothes,03/12/2015,698382096,L,Middle East and Africa,Online,05/10/2015,37646.64,119423.16,1044
Poland,Clothes,09/14/2013,199282456,L,Europe,Online,11/03/2013,52103.25,157732.65,1395
United Kingdom,Cosmetics,10/26/2010,614745610,C,Europe,Online,10/28/2010,2618628.24,4277203.02,9726
Netherlands,Cosmetics,02/18/2012,855665764,H,Europe,Online,02/24/2012,2179111.04,3541929.5,7946
Poland,Clothes,04/09/2014,486165467,L,Europe,Offline,05/23/2014,321619.91,947881.17,8843
South Africa,Beverages,04/12/2012,337591250,C,Middle East and Africa,Offline,04/15/2012,164723.52,249541.5,5226
United Kingdom,Cosmetics,09/17/2011,363850592,C,Europe,Offline,09/19/2011,1410234.88,2423136.0,5504
Egypt,Cosmetics,03/03/2015,624325659,C,Middle East and Africa,Offline,03/05/2015,1494619.4,2622892.1,5870
Belgium,Snacks,11/01/2010,777210736,H,Europe,Online,11/16/2010,140009.34,188848.56,894
Germany,Vegetables,06/14/2012,761982621,M,Europe,Online,07/13/2012,540183.02,970502.52,6214
South Africa,Baby Food,02/18/2010,407829477,H,Middle East and Africa,Offline,02/23/2010,425490.5,2247554.87,8773
Mexico,Vegetables,03/15/2011,665277813,C,North America,Online,03/16/2011,762548.34,1297653.21,8691
Singapore,Cosmetics,03/09/2014,342512383,C,Asia-Pacific,Online,03/13/2014,2019604.8,3494760.6,7620
India,Snacks,07/19/2014,110147040,H,Asia-Pacific,Online,07/30/2014,963073.02,1278718.35,6279
Germany,Meat,05/06/2016,843338269,C,Europe,Offline,05/07/2016,3847556.21,5310445.1,8753
Egypt,Baby Food,02/03/2016,116812751,H,Middle East and Africa,Offline,02/17/2016,29349.27,168842.97,639
Ireland,Cereal,05/10/2013,517853724,C,Europe,Online,05/12/2013,1065299.73,1985284.62,9339
Australia,Vegetables,08/14/2015,181623972,M,Asia-Pacific,Online,09/09/2015,85437.33,146781.47,979
Australia,Fruits,01/20/2015,563693201,H,Asia-Pacific,Offline,02/01/2015,26168.34,37372.38,3837
Turkey,Personal Care,12/08/2016,265593497,C,Europe,Online,12/11/2016,239449.56,323968.47,4137
United Arab Emirates,Vegetables,01/17/2014,486458467,C,Middle East and Africa,Offline,01/18/2014,138201.57,241624.89,1599
India,Cereal,11/01/2014,128198506,H,Asia-Pacific,Online,11/13/2014,1086243.75,1880147.25,9225
Canada,Office Supplies,04/27/2014,878295151,H,North America,Offline,05/02/2014,2540267.64,3267292.59,4881
Ireland,Office Supplies,11/26/2011,167932588,M,Europe,Offline,12/15/2011,2317912.6,2931673.8,4505
Poland,Cosmetics,06/07/2015,771124810,C,Europe,Offline,06/08/2015,1544848.64,2563537.92,6016
United Arab Emirates,Meat,06/01/2013,963370520,H,Middle East and Africa,Online,06/06/2013,2730694.23,4154136.32,6583
Australia,Fruits,05/15/2013,437351729,C,Asia-Pacific,Online,05/18/2013,72177.09,90346.15,9983
Poland,Fruits,06/16/2016,943817764,L,Europe,Offline,08/10/2016,27682.8,37168.23,4071
Egypt,Beverages,08/24/2017,956508307,M,Middle East and Africa,Online,09/08/2017,254411.6,353034.41,7663
India,Household,02/07/2017,554330180,C,Asia-Pacific,Online,02/10/2017,992916.9,2622575.4,4065
Saudi Arabia,Meat,12/29/2015,486041850,C,Middle East and Africa,Offline,01/03/2016,2946194.69,4461601.04,6953
United States,Clothes,04/04/2017,794435663,L,North America,Online,05/23/2017,29757.75,91459.5,825
Egypt,Household,02/08/2011,723326773,H,Middle East and Africa,Online,02/17/2011,936940.64,2502033.61,3737
Sweden,Fruits,08/15/2017,618371508,C,Europe,Offline,08/20/2017,55437.32,81247.21,8299
Canada,Household,08/04/2011,659542785,H,North America,Online,08/14/2011,1284369.2,3580676.7,5210
Egypt,Meat,10/24/2017,863193132,H,Middle East and Africa,Offline,11/05/2017,2149329.75,3169227.0,5325
United States,Fruits,09/26/2012,557810637,H,North America,Online,10/09/2012,20587.68,27124.86,2958
United Arab Emirates,Household,03/08/2017,311875497,M,Middle East and Africa,Online,04/05/2017,1570621.46,4448097.9,6581
South Africa,Household,04/22/2012,676480186,H,Middle East and Africa,Online,05/01/2012,283938.75,774315.0,1125
Netherlands,Fruits,04/12/2011,740992546,M,Europe,Offline,05/05/2011,56345.86,76805.74,8119
South Africa,Personal Care,12/12/2013,419378952,H,Middle East and Africa,Offline,12/24/2013,171024.7,244057.66,2926
Mexico,Cereal,09/04/2012,648494024,L,North America,Online,10/13/2012,228614.4,422714.88,2016
South Africa,Personal Care,09/29/2014,792842747,M,Middle East and Africa,Offline,10/19/2014,463713.12,672561.63,8073
Belgium,Cereal,07/29/2011,485515372,C,Europe,Offline,07/31/2011,636311.94,1093672.64,5254
