Country,Item Type,Order Date,Order ID,Order Priority,Region,Sales Channel,Ship Date,Total Cost,Total Revenue,Units Sold
Eritrea,Vegetables,17/06/12,818197581,C,Sub-Saharan Africa,Online,20/06/12,657392,1103014,7240
Jordan,Vegetables,07/06/11,706011277,C,Middle East and North Africa,Online,12/06/11,766762.13,1349157.93,8851
Iran,Beverages,07/03/15,588229686,M,Middle East and North Africa,Offline,27/03/15,28640.69,43039.49,923
Netherlands,Household,30/10/12,155926488,L,Europe,Online,25/12/12,359832.11,986955.31,1441
Slovakia,Snacks,08/05/10,356135680,H,Europe,Offline,16/05/10,531020.16,726046.2,3366
Antigua and Barbuda,Snacks,20/03/15,903079055,H,Central America and the Caribbean,Offline,29/03/15,906153.93,1323202.2,6143
Libya,Cereal,28/06/16,502982778,L,Middle East and North Africa,Offline,28/07/16,614898,1115622.99,5211
Mauritius,Clothes,22/02/11,707665448,H,Sub-Saharan Africa,Offline,03/03/11,367072.78,1118111.24,9937
United States,Fruits,10/10/10,213321496,M,North America,Online,04/11/10,2198.12,2956.41,307
Angola,Snacks,19/11/14,967797300,M,Sub-Saharan Africa,Offline,09/12/14,1380912.64,1800600.08,8648
Georgia,Meat,13/08/13,905817775,M,Asia,Online,04/09/13,626678.64,942509.12,1519
Guinea,Personal Care,28/04/10,956665975,M,Sub-Saharan Africa,Online,28/05/10,297669.75,430636.5,5425
Netherlands,Cosmetics,18/10/15,624606470,L,Europe,Offline,17/12/15,815316.6,1443228.6,3230
Vietnam,Vegetables,10/01/15,361246928,M,Asia,Online,25/01/15,144633.44,247806.16,1624
Montenegro,Personal Care,17/03/16,455184454,L,Europe,Online,02/05/16,322425,479997.68,5732
Liechtenstein,Meat,26/10/12,897662466,L,Europe,Online,02/12/12,895233.48,1270615.8,2076
Singapore,Clothes,06/02/13,994027897,C,Asia,Online,11/02/13,314672.05,995838.35,8695
Panama,Clothes,23/05/13,158546865,L,Central America and the Caribbean,Offline,22/06/13,305359.5,923247.81,8851
Pakistan,Vegetables,25/02/11,465830215,C,Asia,Online,26/02/11,845659.85,1461203.65,9505
Costa Rica,Cosmetics,25/09/10,157562304,M,Central America and the Caribbean,Offline,22/10/10,2056209.16,3611966.16,8156
Honduras,Personal Care,13/10/12,949051496,L,Central America and the Caribbean,Offline,15/11/12,537665.31,763471.8,9243
Thailand,Office Supplies,19/12/14,766823010,M,Asia,Online,12/01/15,5364724.56,6220656.68,9742
Papua New Guinea,Vegetables,06/01/17,286630878,H,Australia and Oceania,Offline,14/01/17,409749.65,659839.3,4435
Laos,Cereal,20/01/15,859088046,H,Asia,Online,03/02/15,894311.33,1561203.82,7799
Liechtenstein,Meat,19/12/12,556489494,H,Europe,Offline,03/01/13,4185300.47,6351710.17,9763
Tuvalu,Clothes,06/08/11,904187231,C,Australia and Oceania,Online,07/08/11,37307.28,115432.86,1077
Canada,Meat,21/09/17,630208579,H,North America,Online,30/09/17,2949175.58,4174244.52,6694
Democratic Republic of the Congo,Personal Care,13/08/13,824022357,H,Sub-Saharan Africa,Online,27/08/13,226823.96,334101.02,4202
United States,Snacks,19/12/11,294872482,L,North America,Offline,02/02/12,1332363.78,1909471.96,8602
Maldives,Snacks,10/04/15,272684373,M,Asia,Offline,06/05/15,1018771.6,1471664.6,6790
Turkey,Vegetables,06/06/17,371011200,M,Europe,Online,03/07/17,790192.64,1345933.52,9112
Moldova,Household,20/08/14,635252889,H,Europe,Online,25/08/14,796137.43,2146439.31,3173
Morocco,Baby Food,28/02/16,230380269,C,Middle East and North Africa,Online,01/03/16,227264.04,1254578.46,4819
Vanuatu,Personal Care,26/06/13,221827951,C,Australia and Oceania,Offline,01/07/13,18458.28,25404.84,324
Gabon,Snacks,10/04/13,607042130,C,Sub-Saharan Africa,Online,15/04/13,692756.91,974136.46,4579
Barbados,Office Supplies,20/02/12,174958005,C,Central America and the Caribbean,Online,25/02/12,4532799.03,5288279.58,8427
Turkey,Fruits,04/03/13,808605988,L,Europe,Offline,26/04/13,35685.65,46915.4,4991
Lesotho,Meat,23/09/13,848933239,M,Sub-Saharan Africa,Online,20/10/13,3327534,4888296,7560
Saint Vincent and the Grenadines,Household,28/06/10,514548900,C,Central America and the Caribbean,Online,01/07/10,2006125.91,5408588.92,7849
Syria,Meat,20/08/15,572775194,H,Middle East and North Africa,Offline,03/09/15,2423257.11,3583068.32,5539
Tuvalu,Meat,07/08/14,384566044,H,Australia and Oceania,Offline,22/08/14,1061984.55,1685451.9,2629
Malta,Vegetables,07/09/13,623929617,M,Europe,Offline,04/10/13,486919.04,846238.64,5288
United States,Personal Care,29/01/17,565973314,H,North America,Offline,13/02/17,286027.92,402670,4808
Nauru,Snacks,13/11/11,415001254,H,Australia and Oceania,Online,22/11/11,83603.1,125947.08,574
Sweden,Household,16/12/15,287979290,C,Europe,Offline,20/12/15,2389860,6062653.08,9372
Papua New Guinea,Household,16/07/16,374154962,C,Australia and Oceania,Online,18/07/16,973969.92,2544744.32,3904
Iran,Meat,30/10/10,555598254,L,Middle East and North Africa,Offline,13/12/10,2549012.06,3520143.83,5761
Qatar,Meat,25/04/14,485429460,L,Middle East and North Africa,Offline,21/06/14,3248884.8,4939058.4,8016
Pakistan,Vegetables,20/05/17,935705734,L,Asia,Offline,01/07/17,397456.62,734048.96,4597
Kuwait,Personal Care,31/07/12,827744047,M,Middle East and North Africa,Online,26/08/12,211838.72,305071.36,3688
United States,Snacks,19/06/13,196779973,H,North America,Offline,01/07/13,99348.34,140866.76,646
Italy,Vegetables,02/04/12,638798023,M,Europe,Offline,21/04/12,843205.95,1358334.63,8937
Portugal,Cosmetics,19/10/13,342251928,M,Europe,Online,06/11/13,2141616.96,3276241.77,7773
Canada,Office Supplies,05/06/14,822443971,L,North America,Offline,05/07/14,2335132.16,2873132.64,4432
Qatar,Personal Care,20/03/11,702806585,M,Middle East and North Africa,Online,11/04/11,422339.52,664022.88,7824
Malta,Clothes,11/11/17,139956218,H,Europe,Online,20/11/17,234016.83,708160.59,6789
Czech Republic,Beverages,11/01/16,897940629,H,Europe,Offline,18/01/16,204615.88,312097.42,6467
Yemen,Household,06/05/17,400368694,C,Middle East and North Africa,Online,07/05/17,2056441.95,5662500.37,8117
Tonga,Fruits,27/12/14,684615760,C,Australia and Oceania,Online,29/12/14,40118.88,57399,6042
Iraq,Baby Food,17/02/12,786650291,M,Middle East and North Africa,Online,06/03/12,343600.5,1871871.5,7550
Bangladesh,Baby Food,31/05/11,695076080,L,Asia,Offline,25/07/11,430567.5,2465595,9350
Saint Vincent and the Grenadines,Clothes,28/08/11,239577989,C,Central America and the Caribbean,Online,02/09/11,5115.84,16727.22,146
Indonesia,Cereal,24/06/11,447646966,H,Asia,Offline,29/06/11,719324.19,1195650.39,5969
Federated States of Micronesia,Cosmetics,21/09/14,935389432,H,Australia and Oceania,Offline,04/10/14,529347.6,855745.92,1962
Croatia,Personal Care,26/08/15,807491789,H,Europe,Online,03/09/15,46947.6,68906.7,810
Nepal,Meat,16/05/15,576271425,H,Asia,Offline,27/05/15,3044278.16,4412906.96,7084
East Timor,Fruits,01/06/11,741444618,C,Australia and Oceania,Offline,04/06/11,67345.5,88857.3,9690
Pakistan,Meat,14/11/17,584853393,M,Asia,Offline,02/12/17,3938240.93,5532588.74,9133
Trinidad and Tobago,Fruits,31/08/14,501902658,M,Central America and the Caribbean,Online,18/09/14,35861.4,49485.6,5220
Antigua and Barbuda,Beverages,17/01/11,239710404,H,Central America and the Caribbean,Offline,28/01/11,54782.74,78801.7,1682
Kyrgyzstan,Personal Care,10/08/14,408839723,L,Asia,Offline,20/09/14,413024.04,587202.66,7029
Nepal,Fruits,26/09/11,697285504,H,Asia,Offline,11/10/11,53840,71680,8000
Moldova,Cosmetics,16/04/16,990626742,C,Europe,Online,21/04/16,2313087.85,4204407.16,9221
Qatar,Baby Food,18/11/17,253815116,C,Middle East and North Africa,Online,21/11/17,264875.58,1400599.05,5667
Kazakhstan,Beverages,11/01/11,269016920,C,Asia,Offline,16/01/11,113793.6,171161.52,3624
Germany,Vegetables,04/08/10,187597497,L,Europe,Offline,07/09/10,249789.96,394134.48,2679
Finland,Snacks,22/10/16,222210617,M,Europe,Online,20/11/16,1026691.2,1504647.9,6885
Denmark,Beverages,29/11/15,743520276,L,Europe,Online,19/01/16,156342.02,241933.35,5153
Australia,Clothes,17/07/11,634063428,L,Australia and Oceania,Offline,09/09/11,150395.74,450587.18,4286
Israel,Cereal,22/12/15,480284107,C,Middle East and North Africa,Online,24/12/15,977268.8,1735191.36,8296
Samoa,Vegetables,18/03/10,715683222,H,Australia and Oceania,Online,30/03/10,129552.5,213441.25,1375
Mauritius,Snacks,17/04/11,763706947,M,Sub-Saharan Africa,Online,14/05/11,70423.29,90898.92,441
Equatorial Guinea,Fruits,10/03/11,524951250,H,Sub-Saharan Africa,Online,18/03/11,50521.24,67675.3,7238
Canada,Vegetables,26/09/13,669732591,L,North America,Offline,19/11/13,248526.32,445537.94,2854
China,Fruits,25/08/12,264142683,L,Asia,Offline,27/09/12,16868.25,22565.97,2499
United States,Cereal,28/04/16,447042200,M,North America,Online,27/05/16,1110355.44,2016457.08,9348
Canada,Cereal,05/04/15,477895080,M,North America,Offline,04/05/15,610255.38,1050562.38,5061
Laos,Cosmetics,04/06/10,196955134,M,Asia,Online,20/06/10,1670720.46,2571175.29,6141
Uzbekistan,Meat,30/05/16,261985842,H,Asia,Online,14/06/16,1319322.24,1980543.52,3184
Solomon Islands,Beverages,29/08/15,571825556,L,Australia and Oceania,Offline,18/10/15,88746.64,141783.88,2927
Japan,Fruits,06/05/14,777409303,L,Asia,Online,18/06/14,39726.72,50279.13,5643
Bahrain,Beverages,04/04/16,804980312,L,Middle East and North Africa,Offline,25/05/16,200066.3,312064.83,6433
Turkmenistan,Fruits,03/12/13,190966348,H,Asia,Offline,12/12/13,43429.86,62079.92,6521
Belarus,Household,07/07/17,645985356,L,Europe,Offline,28/08/17,2096115.48,5929353.84,8724
Austria,Fruits,27/05/12,266371119,L,Europe,Offline,06/07/12,54129.57,79056.6,8067
Kiribati,Beverages,06/12/16,992649957,H,Australia and Oceania,Online,13/12/16,310389,453227.25,9885
Saudi Arabia,Vegetables,10/08/14,907873857,M,Middle East and North Africa,Offline,05/09/14,379943.2,621638.16,3991
Morocco,Clothes,06/04/15,573087862,C,Middle East and North Africa,Online,08/04/15,223476.48,674166.3,6126
Sierra Leone,Household,28/03/12,498585961,M,Sub-Saharan Africa,Offline,16/04/12,1003809.08,2798606.12,4196
Mongolia,Vegetables,10/12/10,992329618,H,Asia,Online,17/12/10,413357.43,704859.63,4569
Democratic Republic of the Congo,Clothes,20/04/10,514642708,M,Sub-Saharan Africa,Online,18/05/10,34476.84,104878.8,972
New Zealand,Clothes,10/02/11,408034406,H,Australia and Oceania,Online,25/02/11,206269.84,589054.76,5593
Canada,Vegetables,12/01/15,331557515,C,North America,Online,17/01/15,17599.32,27276.9,186
United States,Office Supplies,26/03/13,786069196,M,North America,Offline,17/04/13,2542723.74,3192462.12,5034
Canada,Beverages,10/09/16,871531100,H,North America,Online,23/09/16,11885.49,17641.89,369
Panama,Household,12/09/12,662087258,H,Central America and the Caribbean,Online,26/09/12,1680143.5,4705606.75,6925
Iceland,Office Supplies,10/04/15,117439966,H,Europe,Online,15/04/15,3542251.98,4089224.46,6438
Iceland,Fruits,11/07/16,973498494,C,Europe,Offline,14/07/16,15081,21410.45,2285
Saudi Arabia,Snacks,31/01/17,591429705,M,Middle East and North Africa,Online,20/02/17,336906.19,505671,2309
Kiribati,Clothes,21/06/10,683074770,H,Australia and Oceania,Offline,01/07/10,185962,593783.4,5180
Rwanda,Baby Food,02/01/14,569172971,C,Sub-Saharan Africa,Online,03/01/14,256797.06,1456050.96,5538
Swaziland,Meat,05/02/12,386389162,M,Sub-Saharan Africa,Online,06/03/12,3434808.79,5297884.59,8251
United States,Vegetables,30/10/14,452101316,M,North America,Offline,19/11/14,804744.85,1336933.78,9037
Oman,Cosmetics,14/11/11,478557676,M,Middle East and North Africa,Online,13/12/11,1534706.46,2619676.08,5859
Maldives,Cosmetics,12/07/17,829511584,H,Asia,Offline,27/07/17,1754476.15,3042181.8,6755
Belize,Cereal,02/06/11,511086777,M,Central America and the Caribbean,Offline,19/06/11,477387.42,804899.7,3966
Brunei,Personal Care,28/02/14,668503222,C,Asia,Online,03/03/14,428813.68,607019.09,7373
Ireland,Fruits,10/04/11,703091482,L,Europe,Offline,10/05/11,21784.16,29024.56,3148
Kiribati,Cosmetics,11/11/16,179512774,M,Australia and Oceania,Offline,05/12/16,2080988.21,3432086.69,8147
Mali,Vegetables,25/08/17,411774120,M,Sub-Saharan Africa,Offline,19/09/17,537729.28,896775.36,5792
Portugal,Vegetables,15/09/15,354193540,C,Europe,Online,17/09/15,199069.92,331073.28,2088
Canada,Baby Food,30/03/15,170596494,L,North America,Online,24/05/15,417515.22,2422392.42,9138
Ireland,Vegetables,05/08/14,583156434,M,Europe,Online,22/08/14,205030.19,336406.25,2153
Central African Republic,Office Supplies,08/03/16,564520346,L,Sub-Saharan Africa,Offline,27/04/16,4945369.8,6631676.1,9730
Kyrgyzstan,Beverages,06/11/11,657162259,C,Asia,Online,08/11/11,178653.62,248563.9,5386
Lithuania,Cosmetics,28/05/11,735449477,C,Europe,Online,31/05/11,2233160.8,3919302.4,8840
Turkmenistan,Cereal,27/04/10,384172112,L,Asia,Offline,29/05/10,103271.84,178311.88,844
United Arab Emirates,Personal Care,02/08/15,835503313,M,Middle East and North Africa,Offline,26/08/15,285621.93,425226.78,5049
South Sudan,Meat,10/10/11,751396498,H,Sub-Saharan Africa,Offline,22/10/11,2910278.07,4180566.81,6909
Cuba,Vegetables,22/06/14,359564054,L,Central America and the Caribbean,Online,26/07/14,561901.9,913098.3,6170
Gabon,Cosmetics,01/08/11,760756497,M,Sub-Saharan Africa,Offline,19/08/11,239505.49,401458.06,929
Republic of the Congo,Cereal,17/02/12,635539154,L,Sub-Saharan Africa,Online,11/04/12,317313.9,558260,2710
Czech Republic,Baby Food,02/09/15,154267347,H,Europe,Online,14/09/15,186428.4,1017146.88,4044
Czech Republic,Personal Care,08/01/16,881155839,M,Europe,Online,23/01/16,104737.08,157924.46,1861
Ireland,Fruits,29/07/10,178954113,H,Europe,Online,12/08/10,62429.84,87271.52,9304
Namibia,Meat,12/06/11,698967370,L,Sub-Saharan Africa,Offline,15/07/11,2729586.62,4285006.7,6553
Norway,Clothes,05/07/10,657629251,M,Europe,Offline,21/07/10,85850.45,264047,2345
Lesotho,Personal Care,16/11/16,421300425,C,Sub-Saharan Africa,Online,19/11/16,154837.72,228362.16,2762
Taiwan,Office Supplies,30/04/15,547256709,M,Asia,Online,15/05/15,3166273.5,3839221.65,6135
Nepal,Vegetables,23/12/12,726553348,H,Asia,Online,07/01/13,877636.28,1508090.19,9577
Madagascar,Office Supplies,20/08/17,304853117,M,Sub-Saharan Africa,Offline,11/09/17,326251.09,409854.59,617
Solomon Islands,Fruits,19/08/14,606382505,M,Australia and Oceania,Offline,09/09/14,47215.16,64340.89,6823
United States,Vegetables,16/04/16,285953213,C,North America,Offline,19/04/16,723536.92,1199995.03,7937
Eritrea,Fruits,03/11/16,420511037,L,Sub-Saharan Africa,Online,18/12/16,23530,29640,3250
Panama,Cosmetics,22/07/13,874881231,C,Central America and the Caribbean,Online,26/07/13,1540244.88,2652346.8,5814
United Kingdom,Beverages,14/11/13,184857208,M,Europe,Online,03/12/13,147343.14,241005.38,4858
Finland,Snacks,26/05/12,391651334,L,Europe,Online,01/07/12,1330479.16,1913573.32,8924
Haiti,Personal Care,27/07/10,543778963,C,Central America and the Caribbean,Offline,01/08/10,218137.65,296431.79,3797
Andorra,Meat,22/01/10,610778600,H,Europe,Offline,04/02/10,1123058.52,1748377.16,2687
Burundi,Clothes,15/03/13,716470999,L,Sub-Saharan Africa,Online,04/05/13,39873.7,112020.51,1069
Saint Lucia,Vegetables,08/09/14,631914410,H,Central America and the Caribbean,Offline,15/09/14,66337.75,105966.65,695
Panama,Baby Food,15/05/16,587853601,H,Central America and the Caribbean,Online,29/05/16,91933.84,466488.06,1858
Yemen,Office Supplies,28/08/15,274476883,M,Middle East and North Africa,Offline,26/09/15,2325353.1,2860774.3,4570
Morocco,Snacks,27/02/10,913126162,L,Middle East and North Africa,Offline,21/04/10,882923.46,1206414.65,5623
Nicaragua,Personal Care,12/10/15,250980852,M,Central America and the Caribbean,Online,06/11/15,85343.31,119276.82,1521
The Gambia,Clothes,21/04/14,424211872,H,Sub-Saharan Africa,Online,29/04/14,272648.25,847546.56,7419
India,Cosmetics,12/09/10,836665942,L,Asia,Offline,02/11/10,534287.12,859843.52,2036
Nepal,Vegetables,14/02/14,264481748,H,Asia,Online,28/02/14,328596.84,551788.38,3718
Swaziland,Personal Care,15/11/17,986485022,L,Sub-Saharan Africa,Online,01/01/18,454227.82,657938.8,7814
Guatemala,Snacks,04/12/15,989889367,H,Central America and the Caribbean,Online,14/12/15,219192.05,282488.15,1379
China,Personal Care,05/09/13,726150048,C,Asia,Offline,10/09/13,399975.5,582129.48,7339
Democratic Republic of the Congo,Office Supplies,01/02/15,700003920,M,Sub-Saharan Africa,Offline,20/02/15,4429104.68,5576543.33,8509
Central African Republic,Cosmetics,08/11/12,469935052,H,Sub-Saharan Africa,Online,13/11/12,973981.3,1531564.4,3670
Lebanon,Office Supplies,18/04/15,922301213,H,Middle East and North Africa,Offline,23/04/15,2498424.54,3211910.19,4803
Israel,Fruits,27/03/14,679069250,M,Middle East and North Africa,Online,23/04/14,9968.7,13404.72,1414
Bahamas,Fruits,10/01/16,996382881,H,Central America and the Caribbean,Offline,21/01/16,58368.24,85711.92,8764
Nauru,Baby Food,21/07/17,346599912,L,Australia and Oceania,Online,12/09/17,424751.8,2274844,9020
Barbados,Fruits,12/02/12,922543647,C,Central America and the Caribbean,Online,13/02/12,4470.51,5799.75,627
Fiji,Clothes,29/08/16,152265802,H,Australia and Oceania,Offline,03/09/16,268312.66,826661,7414
Costa Rica,Household,20/01/16,351429015,M,Central America and the Caribbean,Offline,10/02/16,247234.56,718080,1024
Canada,Personal Care,21/05/13,544056890,L,North America,Offline,18/07/13,145400.74,200409.3,2447
Switzerland,Baby Food,26/03/16,820848547,C,Europe,Online,30/03/16,43130.92,231365.4,868
Malawi,Fruits,04/09/11,358737619,M,Sub-Saharan Africa,Online,28/09/11,41988.9,58721.79,6267
United States,Cosmetics,25/08/10,243980993,C,North America,Online,30/08/10,1891234.65,3016781.7,6861
Republic of the Congo,Cosmetics,02/04/17,878016905,C,Sub-Saharan Africa,Online,03/04/17,2035078.43,3132349.22,7469
United States,Baby Food,22/07/17,963987020,L,North America,Online,09/09/17,451704.06,2438323.86,9978
United States,Meat,26/05/13,225967304,C,North America,Online,27/05/13,1571978.1,2328925.2,3570
Tunisia,Clothes,07/09/12,673002461,C,Middle East and North Africa,Online,12/09/12,197740.27,579744.62,5369
Iraq,Cosmetics,02/10/15,875685667,L,Middle East and North Africa,Online,29/11/15,2164260.21,3714778.68,8247
The Gambia,Clothes,23/08/14,117415986,L,Sub-Saharan Africa,Online,23/09/14,345996.24,1042646.72,9316
Belarus,Personal Care,17/09/11,363850592,M,Europe,Online,08/10/11,303490.56,452979.2,5504
Somalia,Snacks,25/06/15,478146284,L,Sub-Saharan Africa,Online,24/08/15,1236661.26,1774435.59,8137
Honduras,Vegetables,30/01/16,978316418,M,Central America and the Caribbean,Offline,15/02/16,752815.96,1384229.6,8684
Kuwait,Baby Food,27/01/17,643026584,M,Middle East and North Africa,Offline,18/02/17,58745.59,294455.75,1213
Angola,Baby Food,06/03/10,668457864,M,Sub-Saharan Africa,Online,21/03/10,420666.3,2141429.58,8819
Qatar,Office Supplies,20/08/15,214908010,L,Middle East and North Africa,Offline,15/10/15,3870528.62,4849625.06,7154
Tuvalu,Cereal,13/12/16,526164289,C,Australia and Oceania,Offline,18/12/16,511588,850853.85,4235
New Zealand,Household,26/10/17,801943382,M,Australia and Oceania,Offline,17/11/17,1278870.84,3467281.28,5014
United States,Beverages,25/03/14,188783547,M,North America,Online,24/04/14,32832.18,49329.79,1019
Ethiopia,Snacks,04/12/15,843338269,L,Sub-Saharan Africa,Offline,01/02/16,118322.62,176663.02,797
Georgia,Cosmetics,04/09/17,437675369,H,Asia,Offline,13/09/17,2384205,3749769.66,8997
Fiji,Personal Care,12/11/10,517853724,C,Australia and Oceania,Online,15/11/10,157459.83,227175.08,2761
Yemen,Fruits,24/09/17,204889313,M,Middle East and North Africa,Offline,11/10/17,58875.36,76313.76,8304
Niger,Beverages,29/08/13,344961731,L,Sub-Saharan Africa,Online,28/09/13,149654.82,216173.16,4578
Belarus,Household,16/08/17,364623437,M,Europe,Offline,12/09/17,386934.08,984518.4,1504
Lebanon,Beverages,06/04/14,214408183,L,Middle East and North Africa,Offline,28/05/14,85508.85,122365.66,2627
Australia,Cosmetics,09/01/13,698058121,M,Australia and Oceania,Online,27/01/13,573084.2,985588.6,2270
Bhutan,Beverages,20/12/13,513646070,H,Asia,Offline,02/01/14,52130.4,79251.2,1624
Kiribati,Household,10/04/16,282001119,M,Australia and Oceania,Offline,02/05/16,2376780.6,6445755.5,9470
El Salvador,Cosmetics,21/08/11,619939412,L,Central America and the Caribbean,Online,22/09/11,742710.79,1231416.25,2839
United States,Fruits,04/01/17,245480775,L,North America,Offline,18/02/17,68796,91302.12,9828
Albania,Household,11/09/13,799045497,L,Europe,Online,25/10/13,1388796.64,3852345.76,5584
Sri Lanka,Cosmetics,17/05/15,412940071,L,Asia,Offline,26/06/15,829435.6,1377646.9,3010
Tunisia,Personal Care,21/03/14,314533665,C,Middle East and North Africa,Online,24/03/14,365483.67,557344.62,6537
Singapore,Snacks,11/12/17,174258554,H,Asia,Online,19/12/17,1144304.96,1603498.11,7283
